Property, Algorithm,"1","2","3","4"
Time, BFS,74.9979019165039,236.9999885559082,193.97759437561035,660.0258350372314
Time, DFS,62.0265007019043,1243.021011352539,121.99568748474121,253.9806365966797
Time, UCS,68.97258758544922,173.9795207977295,228.00493240356445,680.994987487793
Time, AStar,68.00460815429688,122.02095985412598,212.99481391906738,755.0013065338135
Steps, BFS,33,16,41,89
Steps, DFS,68,32,67,135
Steps, UCS,33,16,41,89
Steps, AStar,33,16,41,89
Node, BFS,314,750,1038,2669
Node, DFS,275,4480,669,1070
Node, UCS,336,647,1094,2674
Node, AStar,311,423,988,2670
Memory usage, BFS,0.043227195739746094,0.1216878890991211,0.1337718963623047,0.4567708969116211
Memory usage, DFS,0.03770923614501953,0.4826812744140625,0.09558677673339844,0.16998958587646484
Memory usage, UCS,0.067779541015625,0.09376049041748047,0.13818740844726562,0.45694732666015625
Memory usage, AStar,0.03889274597167969,0.08465766906738281,0.12789058685302734,0.45689868927001953
